id,name,phone,email,currentBalancePKR,customerType,isActive,createdAt,updatedAt
"cust_xaaqlbjm5","Ali Syed","03006696621","","0","retail","true","2026-05-23T08:39:46.129Z","2026-08-07T16:03:49.129Z"
"cust_m4sqgh0r7","Fahad Rajput","03312058336","","0","retail","true","2026-05-13T06:10:58.129Z","2026-08-03T04:48:43.129Z"
"cust_gm1kowuyx","Fatima Ansari","03497460565","fatima.ansari13@gmail.com","0","retail","true","2026-06-21T18:26:42.129Z","2026-08-10T15:38:46.129Z"
"cust_5my234qzm","Hassan Khan","03435930686","","5000","wholesale","true","2026-06-01T07:14:48.129Z","2026-08-11T18:51:25.129Z"
"cust_mgtsuh4o9","Ali Rajput","03112367895","","0","retail","true","2026-06-15T06:27:27.129Z","2026-08-11T08:59:14.129Z"
"cust_xejb5fi57","Waqas Malik","03064845679","waqas.malik43@gmail.com","0","retail","true","2026-07-03T08:01:10.130Z","2026-08-10T16:38:07.130Z"
"cust_myrp66a00","Mehwish Siddiqui","03348008647","","48000","retail","true","2026-06-17T09:51:48.130Z","2026-08-09T14:40:39.130Z"
"cust_svq9dd51v","Ayesha Siddiqui","03219272718","","18000","retail","true","2026-08-05T16:28:02.130Z","2026-08-06T06:58:18.130Z"
"cust_2zchnokw7","Rabia Khan","03167424935","","0","retail","true","2026-06-08T06:54:48.130Z","2026-08-08T09:31:30.130Z"
"cust_kumoy5avs","Salman Sheikh","03369439840","","12000","retail","true","2026-08-08T18:02:15.130Z","2026-08-01T17:38:01.130Z"
"cust_tpkul5afz","Kiran Rajput","03034734335","","0","retail","true","2026-05-22T03:59:16.130Z","2026-08-05T03:32:16.130Z"
"cust_vsmlqk9iy","Hassan Syed","03053343016","","46000","retail","true","2026-06-18T04:52:15.130Z","2026-08-11T15:55:26.130Z"
"cust_qnutesdi6","Waqas Rajput","03185074728","","0","retail","true","2026-06-08T06:58:06.130Z","2026-08-03T09:10:06.130Z"
"cust_h6j5xgyhh","Farhan Ansari","03182217609","","31000","retail","true","2026-06-19T16:55:38.130Z","2026-08-09T08:42:50.130Z"
"cust_hxxoxwqsi","Sadia Rajput","03065154001","","46000","retail","true","2026-08-10T10:28:31.130Z","2026-08-04T06:27:13.130Z"
"cust_3p5etbrwp","Kamran Siddiqui","03432196606","","48000","retail","true","2026-05-26T05:09:57.130Z","2026-08-10T06:05:45.130Z"
"cust_aq10pc3pn","Zainab Baig","03432399460","zainab.baig62@gmail.com","0","wholesale","true","2026-07-25T17:08:51.130Z","2026-08-11T06:35:37.130Z"
"cust_plmu74xl6","Salman Syed","03066492658","salman.syed68@gmail.com","0","retail","true","2026-06-28T16:30:04.130Z","2026-08-09T12:43:25.130Z"
"cust_z43xrhcee","Sadia Rajput","03018203598","sadia.rajput85@gmail.com","0","retail","true","2026-07-04T07:36:18.130Z","2026-08-11T03:04:35.130Z"
"cust_joj37e2pv","Hira Sheikh","03124645200","","20000","retail","true","2026-06-29T03:44:36.130Z","2026-08-01T12:25:12.130Z"
