id,employeeName,employeeRole,date,taskName,saleId,revenueGeneratedPKR,notes
"log_ozkva23lg","Saqib","Day Operator","2026-08-11T16:40:00.152Z","Online Form Filling (NADRA / Driving License)","sale_e6jvhj8o5","250","Completed successfully"
"log_y3z8ep4kw","Azan","Night Typist","2026-08-11T15:52:14.152Z","CV Normal Creation","sale_v9wfsnlxd","150","Completed successfully"
"log_8p8akk0vc","Omar","Night Manager / Biometrics Specialist","2026-08-11T04:35:38.151Z","CV Normal Creation","sale_8ifk1ovc0","150",""
"log_27lhe5qle","Ashar","Night Operator","2026-08-10T17:37:29.151Z","Application Writing / Urdu Typing","sale_pim24377l","150",""
"log_4g0wiibqd","Ashar","Night Operator","2026-08-10T17:37:29.151Z","Online Form Filling (NADRA / Driving License)","sale_pim24377l","250","Completed successfully"
"log_vdt7rlkp7","Ashar","Night Operator","2026-08-10T17:37:29.151Z","Online Form Filling (NADRA / Driving License)","sale_pim24377l","250","Completed successfully"
"log_qf7zn9whn","Azan","Night Typist","2026-08-10T04:21:19.152Z","CV Professional Creation","sale_hpna8tltw","500",""
"log_yl57haum8","Azan","Night Typist","2026-08-10T04:21:19.152Z","CV Professional Creation","sale_hpna8tltw","500",""
"log_fl6a4j7ka","Ashar","Night Operator","2026-08-10T03:48:41.151Z","Application Writing / Urdu Typing","sale_18twxqyz3","150","Completed successfully"
"log_ea9dnzi15","Ashar","Night Operator","2026-08-10T03:48:41.151Z","CV Professional Creation","sale_18twxqyz3","500",""
"log_i8nz04crj","Azan","Night Typist","2026-08-10T03:36:32.153Z","Biometrics Verification","sale_95sw7rrvb","300",""
"log_v2akvg8vu","Abdi","IT Manager","2026-08-09T18:48:33.151Z","Application Writing / Urdu Typing","sale_kdzutywyn","150",""
"log_pf6haabfz","Azan","Night Typist","2026-08-09T16:29:34.153Z","CV Normal Creation","sale_5rtdkqy6n","150",""
"log_gz01haiap","Hamza","Day Operator","2026-08-09T14:17:14.153Z","Application Writing / Urdu Typing","sale_1xgh7cj7c","150","Completed successfully"
"log_h0i4gmszn","Hamza","Day Operator","2026-08-09T14:17:14.153Z","CV Normal Creation","sale_1xgh7cj7c","150",""
"log_ecr28sozt","Hamza","Day Operator","2026-08-09T14:17:14.153Z","CV Professional Creation","sale_1xgh7cj7c","500",""
"log_2wrv2pjoe","Abdi","IT Manager","2026-08-09T06:57:14.152Z","Online Form Filling (NADRA / Driving License)","sale_myud4hi1j","250",""
"log_6b7w66u67","Abdi","IT Manager","2026-08-09T06:57:14.152Z","CV Professional Creation","sale_myud4hi1j","500",""
"log_i2h2cft1a","Abdi","IT Manager","2026-08-09T06:57:14.152Z","Biometrics Verification","sale_myud4hi1j","300","Completed successfully"
"log_7v12yn2br","Ali","Night Assistant","2026-08-09T03:13:49.153Z","Online Form Filling (NADRA / Driving License)","sale_dkz7rt32v","250",""
"log_l8vurpxzy","Omar","Night Manager / Biometrics Specialist","2026-08-08T18:16:08.151Z","Application Writing / Urdu Typing","sale_yc5qbbnfc","150","Completed successfully"
"log_m1il9ss3h","Abdi","IT Manager","2026-08-08T14:41:05.153Z","CV Professional Creation","sale_8sk3u1gpo","500",""
"log_c7rjzmh4w","Abdi","IT Manager","2026-08-08T14:41:05.153Z","Online Form Filling (NADRA / Driving License)","sale_8sk3u1gpo","250",""
"log_od2dj88sa","Azan","Night Typist","2026-08-08T08:02:16.152Z","Application Writing / Urdu Typing","sale_0k05wpnb4","150","Completed successfully"
"log_ea230om7h","Ali","Night Assistant","2026-08-08T07:52:17.153Z","Online Form Filling (NADRA / Driving License)","sale_v9m00ui3y","250",""
"log_43qp1jhay","Azan","Night Typist","2026-08-07T18:26:19.153Z","Biometrics Verification","sale_yk02cnb8h","300","Completed successfully"
"log_t9ygaj9jx","Ashar","Night Operator","2026-08-07T10:57:40.153Z","Application Writing / Urdu Typing","sale_et50m92l8","150","Completed successfully"
"log_ncmwvmnhg","Ali","Night Assistant","2026-08-07T05:42:19.152Z","CV Normal Creation","sale_nleo3cvru","150",""
"log_ietl8fopn","Ashar","Night Operator","2026-08-07T04:58:48.153Z","Biometrics Verification","sale_xxb8cas6b","300","Completed successfully"
"log_vysw5dxjw","Abdi","IT Manager","2026-08-07T04:33:41.153Z","CV Normal Creation","sale_3ldn2more","150","Completed successfully"
"log_ed3ohmlqp","Hamza","Day Operator","2026-08-07T03:38:07.153Z","Application Writing / Urdu Typing","sale_qbrf4ug9t","150","Completed successfully"
"log_joc65jpf1","Hamza","Day Operator","2026-08-06T14:00:05.153Z","Online Form Filling (NADRA / Driving License)","sale_5z97vuf91","250",""
