id,invoiceNumber,shopCode,customerId,customerName,items,subtotalPKR,discountPKR,taxPKR,grandTotalPKR,paymentStatus,paymentMethod,cashierName,timestamp,date,createdAt
"sale_4f08slnpe","INV-BR-02-01193","BR-02","cust_wzxqkuf0d","Ayesha Baig","[{""itemId"":""inv_l0wqs1fno"",""sku"":""PER-DETERGENT-1KG"",""name"":""Laundry Detergent (1kg)"",""quantity"":1,""unitCostPKR"":400,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":550},{""itemId"":""inv_z5gh463ko"",""sku"":""PER-FACEWASH"",""name"":""Face Wash (100ml)"",""quantity"":4,""unitCostPKR"":250,""unitRetailPKR"":360,""discountPKR"":0,""totalPKR"":1440},{""itemId"":""inv_hjexzzjx1"",""sku"":""GRO-BISCUIT-FAM"",""name"":""Biscuits (Family Pack)"",""quantity"":4,""unitCostPKR"":100,""unitRetailPKR"":135,""discountPKR"":0,""totalPKR"":540},{""itemId"":""inv_b4vrl0utf"",""sku"":""ELE-CHARGER"",""name"":""Wall Charger (18W)"",""quantity"":1,""unitCostPKR"":600,""unitRetailPKR"":1100,""discountPKR"":0,""totalPKR"":1100},{""itemId"":""inv_sq4b2e9ff"",""sku"":""GRO-MILK-1L"",""name"":""Milk Pack (1L)"",""quantity"":1,""unitCostPKR"":250,""unitRetailPKR"":310,""discountPKR"":0,""totalPKR"":310}]","3940","0","0","3940","paid","cash","Usman","2026-08-11T15:56:11.271Z","2026-08-11T15:56:11.271Z","2026-08-11T15:56:11.271Z"
"sale_1cdc4f45x","INV-MAIN-01107","MAIN","null","Walk-in Customer","[{""itemId"":""inv_x2dv8m15e"",""sku"":""PER-TISSUE"",""name"":""Tissue Box (150s)"",""quantity"":3,""unitCostPKR"":160,""unitRetailPKR"":220,""discountPKR"":0,""totalPKR"":660},{""itemId"":""inv_ftsml9z9w"",""sku"":""PER-SOAP"",""name"":""Hand Soap (100g)"",""quantity"":1,""unitCostPKR"":80,""unitRetailPKR"":120,""discountPKR"":0,""totalPKR"":120},{""itemId"":""inv_5t60tf453"",""sku"":""PER-TOOTHPASTE"",""name"":""Toothpaste (120g)"",""quantity"":4,""unitCostPKR"":180,""unitRetailPKR"":250,""discountPKR"":0,""totalPKR"":1000},{""itemId"":""inv_os93vdbj8"",""sku"":""GRO-OIL-1L"",""name"":""Cooking Oil (1L)"",""quantity"":4,""unitCostPKR"":450,""unitRetailPKR"":580,""discountPKR"":0,""totalPKR"":2320},{""itemId"":""inv_vm6nkodiv"",""sku"":""GRO-TEA-900G"",""name"":""Tea (900g)"",""quantity"":3,""unitCostPKR"":1300,""unitRetailPKR"":1700,""discountPKR"":0,""totalPKR"":5100},{""itemId"":""inv_98y3cs1s5"",""sku"":""BEV-COLA-1.5L"",""name"":""Cola Soft Drink (1.5L)"",""quantity"":3,""unitCostPKR"":150,""unitRetailPKR"":200,""discountPKR"":0,""totalPKR"":600}]","9800","0","0","9800","paid","easypaisa","Ayesha","2026-08-11T14:59:45.267Z","2026-08-11T14:59:45.267Z","2026-08-11T14:59:45.267Z"
"sale_7253s709h","INV-MAIN-01023","MAIN","null","Walk-in Customer","[{""itemId"":""inv_ercwcfc3x"",""sku"":""PER-DETERGENT-1KG"",""name"":""Laundry Detergent (1kg)"",""quantity"":4,""unitCostPKR"":400,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":2200},{""itemId"":""inv_5t60tf453"",""sku"":""PER-TOOTHPASTE"",""name"":""Toothpaste (120g)"",""quantity"":2,""unitCostPKR"":180,""unitRetailPKR"":250,""discountPKR"":0,""totalPKR"":500},{""itemId"":""inv_wbtqdpayd"",""sku"":""BEV-ENERGY-250ML"",""name"":""Energy Drink (250ml)"",""quantity"":1,""unitCostPKR"":200,""unitRetailPKR"":280,""discountPKR"":0,""totalPKR"":280},{""itemId"":""inv_oderuqzm9"",""sku"":""GRO-SUGAR-1KG"",""name"":""Sugar (1kg)"",""quantity"":2,""unitCostPKR"":140,""unitRetailPKR"":175,""discountPKR"":0,""totalPKR"":350}]","3330","0","0","3330","paid","cash","Usman","2026-08-11T13:14:51.265Z","2026-08-11T13:14:51.265Z","2026-08-11T13:14:51.265Z"
"sale_6pjuc4ugm","INV-BR-03-01061","BR-03","null","Walk-in Customer","[{""itemId"":""inv_jh6nxgkwf"",""sku"":""GRO-LENTIL-1KG"",""name"":""Daal Chana (1kg)"",""quantity"":3,""unitCostPKR"":280,""unitRetailPKR"":360,""discountPKR"":0,""totalPKR"":1080},{""itemId"":""inv_vq8fxigci"",""sku"":""ELE-CHARGER"",""name"":""Wall Charger (18W)"",""quantity"":3,""unitCostPKR"":600,""unitRetailPKR"":1100,""discountPKR"":0,""totalPKR"":3300},{""itemId"":""inv_88rzyv3j2"",""sku"":""GRO-MILK-1L"",""name"":""Milk Pack (1L)"",""quantity"":2,""unitCostPKR"":250,""unitRetailPKR"":310,""discountPKR"":0,""totalPKR"":620},{""itemId"":""inv_88rzyv3j2"",""sku"":""GRO-MILK-1L"",""name"":""Milk Pack (1L)"",""quantity"":2,""unitCostPKR"":250,""unitRetailPKR"":310,""discountPKR"":0,""totalPKR"":620}]","5620","250","0","5370","paid","bank","Ahmed","2026-08-11T08:29:55.265Z","2026-08-11T08:29:55.265Z","2026-08-11T08:29:55.265Z"
"sale_1rqpm0oe8","INV-BR-02-01253","BR-02","null","Walk-in Customer","[{""itemId"":""inv_15eiykl1l"",""sku"":""ELE-EARBUDS"",""name"":""Wireless Earbuds"",""quantity"":2,""unitCostPKR"":1500,""unitRetailPKR"":2700,""discountPKR"":0,""totalPKR"":5400},{""itemId"":""inv_qdga38wvk"",""sku"":""ELE-CABLE-C"",""name"":""Type-C Charging Cable"",""quantity"":2,""unitCostPKR"":300,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":1100},{""itemId"":""inv_gklu1cwos"",""sku"":""GRO-SUGAR-1KG"",""name"":""Sugar (1kg)"",""quantity"":2,""unitCostPKR"":140,""unitRetailPKR"":175,""discountPKR"":0,""totalPKR"":350}]","6850","0","0","6850","paid","bank","Fatima","2026-08-11T07:47:32.272Z","2026-08-11T07:47:32.272Z","2026-08-11T07:47:32.272Z"
"sale_twprzhl9o","INV-BR-03-01286","BR-03","null","Walk-in Customer","[{""itemId"":""inv_zdks3i1i4"",""sku"":""PER-FACEWASH"",""name"":""Face Wash (100ml)"",""quantity"":3,""unitCostPKR"":250,""unitRetailPKR"":360,""discountPKR"":0,""totalPKR"":1080},{""itemId"":""inv_c6z8kuvgi"",""sku"":""PER-SHAMPOO-200ML"",""name"":""Shampoo (200ml)"",""quantity"":2,""unitCostPKR"":350,""unitRetailPKR"":480,""discountPKR"":0,""totalPKR"":960}]","2040","0","0","2040","paid","bank","Ayesha","2026-08-11T06:49:06.277Z","2026-08-11T06:49:06.277Z","2026-08-11T06:49:06.277Z"
"sale_a32ibujtu","INV-BR-02-01167","BR-02","null","Walk-in Customer","[{""itemId"":""inv_xljkx7ymw"",""sku"":""GRO-TEA-900G"",""name"":""Tea (900g)"",""quantity"":2,""unitCostPKR"":1300,""unitRetailPKR"":1700,""discountPKR"":0,""totalPKR"":3400},{""itemId"":""inv_xljkx7ymw"",""sku"":""GRO-TEA-900G"",""name"":""Tea (900g)"",""quantity"":2,""unitCostPKR"":1300,""unitRetailPKR"":1700,""discountPKR"":0,""totalPKR"":3400},{""itemId"":""inv_npzohf5lk"",""sku"":""BEV-CHOC-BAR"",""name"":""Chocolate Bar (50g)"",""quantity"":2,""unitCostPKR"":90,""unitRetailPKR"":130,""discountPKR"":0,""totalPKR"":260},{""itemId"":""inv_5ik6k21w1"",""sku"":""ELE-USB-32GB"",""name"":""USB Flash Drive 32GB"",""quantity"":1,""unitCostPKR"":800,""unitRetailPKR"":1300,""discountPKR"":0,""totalPKR"":1300}]","8360","0","0","8360","paid","cash","Fahad","2026-08-11T06:38:01.270Z","2026-08-11T06:38:01.270Z","2026-08-11T06:38:01.270Z"
"sale_p4qvbzoix","INV-MAIN-01128","MAIN","cust_7wf127v5p","Sana Syed","[{""itemId"":""inv_5t60tf453"",""sku"":""PER-TOOTHPASTE"",""name"":""Toothpaste (120g)"",""quantity"":2,""unitCostPKR"":180,""unitRetailPKR"":250,""discountPKR"":0,""totalPKR"":500},{""itemId"":""inv_ercwcfc3x"",""sku"":""PER-DETERGENT-1KG"",""name"":""Laundry Detergent (1kg)"",""quantity"":2,""unitCostPKR"":400,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":1100}]","1600","0","0","1600","partial","cash","Bilal","2026-08-11T05:33:09.267Z","2026-08-11T05:33:09.267Z","2026-08-11T05:33:09.267Z"
"sale_h7bb8rw3v","INV-BR-03-01080","BR-03","null","Walk-in Customer","[{""itemId"":""inv_gat8o1idk"",""sku"":""GRO-TEA-900G"",""name"":""Tea (900g)"",""quantity"":2,""unitCostPKR"":1300,""unitRetailPKR"":1700,""discountPKR"":0,""totalPKR"":3400},{""itemId"":""inv_6pfov00fr"",""sku"":""BEV-JUICE-1L"",""name"":""Mango Juice (1L)"",""quantity"":1,""unitCostPKR"":200,""unitRetailPKR"":270,""discountPKR"":0,""totalPKR"":270}]","3670","0","0","3670","paid","cash","Bilal","2026-08-11T05:32:04.266Z","2026-08-11T05:32:04.266Z","2026-08-11T05:32:04.266Z"
"sale_fle27zk4f","INV-MAIN-01284","MAIN","cust_87csm5kqn","Kiran Baig","[{""itemId"":""inv_phven6on5"",""sku"":""ELE-POWERBANK"",""name"":""Power Bank (10000mAh)"",""quantity"":2,""unitCostPKR"":3000,""unitRetailPKR"":4900,""discountPKR"":0,""totalPKR"":9800},{""itemId"":""inv_sm5oyilt7"",""sku"":""PER-FACEWASH"",""name"":""Face Wash (100ml)"",""quantity"":1,""unitCostPKR"":250,""unitRetailPKR"":360,""discountPKR"":0,""totalPKR"":360},{""itemId"":""inv_ercwcfc3x"",""sku"":""PER-DETERGENT-1KG"",""name"":""Laundry Detergent (1kg)"",""quantity"":4,""unitCostPKR"":400,""unitRetailPKR"":550,""discountPKR"":0,""totalPKR"":2200}]","12360","131","0","12229","paid","card","Bilal","2026-08-11T05:13:52.277Z","2026-08-11T05:13:52.277Z","2026-08-11T05:13:52.277Z"
